row_number,id,year,age,race,sex,education,party_id,religious_activity,ab_any,ab_defect,ab_no_more,ab_health,ab_poor,ab_rape,ab_single,hispanic,party_val
7591,1,1977,63,White,Female,8,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7592,2,1977,31,White,Female,4,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7594,4,1977,26,White,Male,16,Independent,NA,1,1,1,1,0,1,1,2,0
7597,7,1977,77,White,Female,14,"Ind,Near Rep",NA,1,1,1,1,1,1,1,2,1
7598,8,1977,35,White,Female,12,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7599,9,1977,85,White,Female,10,Not Str Democrat,NA,0,0,0,0,0,0,0,2,-2
7600,10,1977,44,White,Female,15,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7601,11,1977,30,White,Male,9,"Ind,Near Dem",NA,0,1,0,1,0,0,0,2,-1
7602,12,1977,36,White,Male,13,"Ind,Near Rep",NA,1,1,1,1,0,1,1,2,1
7603,13,1977,33,White,Male,14,"Ind,Near Rep",NA,1,1,1,1,1,1,1,2,1
7604,14,1977,57,White,Female,12,Strong Democrat,NA,0,1,0,0,0,1,0,2,-3
7606,16,1977,30,White,Male,16,"Ind,Near Dem",NA,0,1,1,1,1,1,1,2,-1
7607,17,1977,35,White,Male,16,Not Str Democrat,NA,1,1,0,1,0,1,1,2,-2
7608,18,1977,22,Black,Female,15,Not Str Democrat,NA,1,1,1,1,1,1,0,2,-2
7609,19,1977,25,White,Male,16,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7610,20,1977,78,White,Male,16,Not Str Republican,NA,0,1,1,1,1,1,1,2,2
7611,21,1977,41,White,Female,12,Not Str Republican,NA,0,0,0,1,0,0,0,2,2
7612,22,1977,45,White,Female,12,"Ind,Near Rep",NA,0,1,0,0,0,0,0,2,1
7613,23,1977,55,White,Female,14,"Ind,Near Rep",NA,0,1,0,1,0,1,0,2,1
7614,24,1977,31,White,Female,12,Not Str Republican,NA,0,1,1,1,1,1,0,2,2
7615,25,1977,34,White,Female,12,Independent,NA,1,1,1,1,1,1,1,2,0
7616,26,1977,69,White,Female,7,Strong Democrat,NA,1,1,1,1,1,1,1,2,-3
7617,27,1977,25,White,Male,13,"Ind,Near Dem",NA,0,0,0,1,0,0,0,2,-1
7618,28,1977,67,White,Female,12,"Ind,Near Rep",NA,1,1,1,1,1,1,1,2,1
7619,29,1977,37,White,Male,8,Other Party,NA,0,1,0,1,0,1,0,2,0
7620,30,1977,51,White,Male,12,Not Str Democrat,NA,0,1,0,1,1,1,0,2,-2
7621,31,1977,20,White,Female,12,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7622,32,1977,48,White,Male,9,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7623,33,1977,62,White,Male,9,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7624,34,1977,41,White,Female,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7625,35,1977,56,White,Female,12,Strong Republican,NA,0,0,0,0,0,0,0,2,3
7626,36,1977,59,White,Male,16,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7627,37,1977,26,White,Female,10,Not Str Democrat,NA,0,1,0,1,1,1,1,2,-2
7628,38,1977,34,White,Male,11,Not Str Republican,NA,0,0,0,1,0,1,1,2,2
7629,39,1977,30,White,Female,14,Independent,NA,1,1,1,1,1,1,1,2,0
7630,40,1977,39,White,Female,10,Strong Democrat,NA,0,1,0,1,0,1,0,2,-3
7631,41,1977,45,White,Female,4,Not Str Democrat,NA,0,0,0,1,0,0,0,2,-2
7633,43,1977,26,White,Male,13,Other Party,NA,1,1,1,1,1,1,1,2,0
7634,44,1977,60,White,Female,12,Strong Republican,NA,0,1,0,1,0,1,0,2,3
7635,45,1977,29,White,Female,10,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7636,46,1977,53,White,Female,11,Strong Democrat,NA,0,0,0,1,0,0,0,2,-3
7637,47,1977,49,White,Male,11,Strong Democrat,NA,0,1,0,1,0,1,0,2,-3
7638,48,1977,30,White,Female,17,Strong Democrat,NA,1,1,1,1,1,1,1,2,-3
7639,49,1977,65,White,Male,9,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7640,50,1977,50,White,Female,16,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7641,51,1977,27,White,Male,12,"Ind,Near Dem",NA,0,1,0,1,1,1,1,2,-1
7643,53,1977,20,White,Male,10,Independent,NA,1,1,1,1,1,1,1,2,0
7644,54,1977,89,White,Male,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7645,55,1977,62,Black,Female,12,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7646,56,1977,76,White,Male,16,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7647,57,1977,31,White,Female,18,Other Party,NA,1,1,1,1,1,1,1,2,0
7648,58,1977,19,White,Male,12,"Ind,Near Dem",NA,0,1,1,1,1,1,0,2,-1
7649,59,1977,58,White,Female,12,Strong Democrat,NA,0,1,0,1,0,1,0,2,-3
7650,60,1977,20,White,Female,12,"Ind,Near Dem",NA,0,1,0,1,0,0,0,2,-1
7651,61,1977,20,White,Female,13,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7652,62,1977,27,White,Male,18,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7653,63,1977,39,White,Female,12,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7654,64,1977,41,Black,Male,12,Not Str Democrat,NA,0,1,0,1,0,1,1,2,-2
7655,65,1977,62,White,Male,6,Strong Republican,NA,1,1,1,1,1,1,1,2,3
7656,66,1977,76,White,Male,4,Not Str Republican,NA,1,1,0,1,1,1,1,2,2
7658,68,1977,84,White,Female,14,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7659,69,1977,73,White,Female,10,Strong Democrat,NA,0,1,0,1,0,1,0,2,-3
7660,70,1977,33,White,Male,15,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7661,71,1977,48,White,Female,12,Not Str Republican,NA,0,1,0,1,0,1,0,2,2
7662,72,1977,68,Black,Male,0,Strong Democrat,NA,0,1,0,1,0,1,0,2,-3
7663,73,1977,55,Black,Female,14,Not Str Democrat,NA,0,1,1,1,0,1,1,2,-2
7665,75,1977,27,White,Male,18,"Ind,Near Dem",NA,0,0,0,1,0,0,0,2,-1
7666,76,1977,27,White,Female,16,"Ind,Near Rep",NA,0,0,0,1,1,1,1,2,1
7667,77,1977,47,Other,Female,16,"Ind,Near Dem",NA,0,1,0,1,1,1,1,2,-1
7668,78,1977,71,White,Female,10,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7669,79,1977,23,Black,Male,10,"Ind,Near Dem",NA,0,1,1,1,1,1,0,2,-1
7671,81,1977,23,Black,Male,14,Strong Democrat,NA,0,0,1,0,0,1,1,2,-3
7672,82,1977,61,White,Female,7,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7673,83,1977,53,White,Female,14,Strong Republican,NA,1,1,1,1,1,1,1,2,3
7674,84,1977,64,White,Male,8,Not Str Democrat,NA,0,1,0,1,1,1,1,2,-2
7675,85,1977,60,White,Female,9,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7676,86,1977,23,Black,Male,11,"Ind,Near Dem",NA,0,0,0,0,0,0,0,2,-1
7677,87,1977,49,Black,Male,5,Strong Democrat,NA,0,0,0,1,1,1,0,2,-3
7678,88,1977,33,Black,Female,11,"Ind,Near Dem",NA,1,1,1,1,1,1,0,2,-1
7679,89,1977,19,Black,Male,12,Not Str Democrat,NA,0,0,0,0,0,0,0,2,-2
7680,90,1977,49,White,Female,8,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
