row_number,id,year,age,race,sex,education,party_id,religious_activity,ab_any,ab_defect,ab_no_more,ab_health,ab_poor,ab_rape,ab_single,hispanic
7591,1,1977,63,White,Female,8,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7592,2,1977,31,White,Female,4,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7593,3,1977,66,White,Male,8,Not Str Republican,NA,FALSE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,NA
7594,4,1977,26,White,Male,16,Independent,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
7595,5,1977,20,White,Female,NA,"Ind,Near Dem",NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
7596,6,1977,36,White,Male,17,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7597,7,1977,77,White,Female,14,"Ind,Near Rep",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7598,8,1977,35,White,Female,12,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7599,9,1977,85,White,Female,10,Not Str Democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7600,10,1977,44,White,Female,15,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7601,11,1977,30,White,Male,9,"Ind,Near Dem",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
7602,12,1977,36,White,Male,13,"Ind,Near Rep",NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
7603,13,1977,33,White,Male,14,"Ind,Near Rep",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7604,14,1977,57,White,Female,12,Strong Democrat,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA
7606,16,1977,30,White,Male,16,"Ind,Near Dem",NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7607,17,1977,35,White,Male,16,Not Str Democrat,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
7608,18,1977,22,Black,Female,15,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
7609,19,1977,25,White,Male,16,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7610,20,1977,78,White,Male,16,Not Str Republican,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7611,21,1977,41,White,Female,12,Not Str Republican,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
7612,22,1977,45,White,Female,12,"Ind,Near Rep",NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7613,23,1977,55,White,Female,14,"Ind,Near Rep",NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7614,24,1977,31,White,Female,12,Not Str Republican,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
7615,25,1977,34,White,Female,12,Independent,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7616,26,1977,69,White,Female,7,Strong Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
